OBJECTID,Hex_ID,Ter_SOC,Aq_SOC,SOC_all,LS_Cond,Intact_LS,Nat_Veg,LS_Corr,LS_merge,fH20_Int,Wet_Rip,Spp_Corr,Ter_SERI,Aq_SERI,all_SERI,CH_Rank,Ter_Rank,Aq_Rank,blk_hex,Tier2,OccurrenceName,TaxonomicClass,OccurTypeCrit,SourceDataset,SourceGeometry,LastSourceDate,LastSourceID,FederalListingStatus,StateListingStatus,SGCNIndicator,Supplemental,AbundanceType,Abundance
137417,101055,3,6,3,5156,4,1,6,1,4,6,4,6,2,2,1,1,2,1,3,Cutthroat,Oncorhynchus,CCT,Salmonid Stock Inventory ,line,8/25/2006 0:00,-1,Not Warranted,n/a,n/a,Run time:Unspecified  Status:Unknown,Stream miles in hex,0.581866725
137412,101055,3,6,3,5156,4,1,6,1,4,6,4,6,2,2,1,1,2,1,3,Coho Salmon,n/a,Documented: Rearing,WA Integrated Fish Distribution,line,1/1/9999 0:00,-1,n/a,n/a,n/a,Run time: Unknown or Not Applicable,Stream miles in hex,0.354916075
137407,101055,3,6,3,5156,4,1,6,1,4,6,4,6,2,2,1,1,2,1,3,North Pacific Bog and Fen,n/a,Ecosystem of concern,Regap ecosys 2001/WA Nat. Heritage March2015,raster,3/12/2015 0:00,-1,n/a,S2,n/a,n/a,Acres in hex,1.5567615
137415,101055,3,6,3,5156,4,1,6,1,4,6,4,6,2,2,1,1,2,1,3,Steelhead Trout,n/a,Documented: Presence,WA Integrated Fish Distribution,line,1/1/9999 0:00,-1,n/a,n/a,n/a,Run time: Winter,Stream miles in hex,0.050930964
137410,101055,3,6,3,5156,4,1,6,1,4,6,4,6,2,2,1,1,2,1,3,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,n/a,Ecosystem of concern,Regap ecosys 2001/WA Nat. Heritage March2015,raster,3/12/2015 0:00,-1,n/a,S1S2,n/a,n/a,Acres in hex,10.674936
137405,101055,3,6,3,5156,4,1,6,1,4,6,4,6,2,2,1,1,2,1,3,"Western Hemlock - (Western Redcedar) / Bog Labrador-tea / (Slough Sedge, Northwest Territory Sedge)",n/a,Natural Heritage TW,WA Natural Heritage Current Precise,poly,1/1/1988 0:00,4665, ,S1,n/a,n/a,Acres in hex,1.681036849
137418,101055,3,6,3,5156,4,1,6,1,4,6,4,6,2,2,1,1,2,1,3,Coho,Oncorhynchus,COHO,Salmonid Stock Inventory ,line,8/29/2006 0:00,-1,Not Warranted,n/a,n/a,Run time:Unspecified  Status:Healthy,Stream miles in hex,1.458672162
137413,101055,3,6,3,5156,4,1,6,1,4,6,4,6,2,2,1,1,2,1,3,Coho Salmon,n/a,Documented: Spawning,WA Integrated Fish Distribution,line,1/1/9999 0:00,-1,n/a,n/a,n/a,Run time: Unknown or Not Applicable,Stream miles in hex,1.104827257
137403,101055,3,6,3,5156,4,1,6,1,4,6,4,6,2,2,1,1,2,1,3,Marbled murrelet,Aves,Marbled murrelet mgt circle,Wildlife Survey and Data Mgt M. Murrelet Mgt Circle,poly,1/1/9999 0:00,-1,Threatened,Threatened,Y,"WDFWSTAT:1,2,3",Acres in hex,265.9648221
137408,101055,3,6,3,5156,4,1,6,1,4,6,4,6,2,2,1,1,2,1,3,North Pacific Hardwood-Conifer Swamp,n/a,Ecosystem of concern,Regap ecosys 2001/WA Nat. Heritage March2015,raster,3/12/2015 0:00,-1,n/a,S2,n/a,n/a,Acres in hex,2.223945
