OBJECTID,Hex_ID,Ter_SOC,Aq_SOC,SOC_all,LS_Cond,Intact_LS,Nat_Veg,LS_Corr,LS_merge,fH20_Int,Wet_Rip,Spp_Corr,Ter_SERI,Aq_SERI,all_SERI,CH_Rank,Ter_Rank,Aq_Rank,blk_hex,Tier2,OccurrenceName,TaxonomicClass,OccurTypeCrit,SourceDataset,SourceGeometry,LastSourceDate,LastSourceID,FederalListingStatus,StateListingStatus,SGCNIndicator,Supplemental,AbundanceType,Abundance
140560,101237,5,6,5,4850,4,6,6,3,4,5,4,3,6,3,2,2,3,1,3,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,n/a,Ecosystem of concern,Regap ecosys 2001/WA Nat. Heritage March2015,raster,3/12/2015 0:00,-1,n/a,S2,n/a,n/a,Acres in hex,84.954699
140558,101237,5,6,5,4850,4,6,6,3,4,5,4,3,6,3,2,2,3,1,3,Mule Deer,n/a,REGULAR CONCENTRATION,Priority Habitats and Species Poly,poly,7/6/1990 0:00,-1,n/a,n/a,n/a,RC,Acres in hex,640.6673993
140561,101237,5,6,5,4850,4,6,6,3,4,5,4,3,6,3,2,2,3,1,3,Rocky Mountain Subalpine-Montane Riparian Shrubland,n/a,Ecosystem of concern,Regap ecosys 2001/WA Nat. Heritage March2015,raster,3/12/2015 0:00,-1,n/a,S3,n/a,n/a,Acres in hex,0.444789
140559,101237,5,6,5,4850,4,6,6,3,4,5,4,3,6,3,2,2,3,1,3,Mule Deer,n/a,REGULAR CONCENTRATION,Priority Habitats and Species Poly,poly,7/17/1990 0:00,-1,n/a,n/a,n/a,RC,Acres in hex,1281.334799
140568,101238,5,6,5,5107,4,6,6,4,3,5,4,3,6,3,3,3,3,1,4,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,n/a,Ecosystem of concern,Regap ecosys 2001/WA Nat. Heritage March2015,raster,3/12/2015 0:00,-1,n/a,S2,n/a,n/a,Acres in hex,46.258056
140563,101238,5,6,5,5107,4,6,6,4,3,5,4,3,6,3,3,3,3,1,4,Mule Deer,n/a,REGULAR CONCENTRATION,Priority Habitats and Species Poly,poly,7/6/1990 0:00,-1,n/a,n/a,n/a,RC,Acres in hex,640.6705491
140566,101238,5,6,5,5107,4,6,6,4,3,5,4,3,6,3,3,3,3,1,4,Freshwater Emergent Wetland,n/a,PEMF,USFWS National Wetlands Inventory,poly,1/10/2014 0:00,-1,n/a,n/a,n/a,n/a,Acres in hex,0.911455322
140564,101238,5,6,5,5107,4,6,6,4,3,5,4,3,6,3,3,3,3,1,4,Mule Deer,n/a,REGULAR CONCENTRATION,Priority Habitats and Species Poly,poly,7/17/1990 0:00,-1,n/a,n/a,n/a,RC,Acres in hex,590.8892624
140567,101238,5,6,5,5107,4,6,6,4,3,5,4,3,6,3,3,3,3,1,4,Inter-Mountain Basins Big Sagebrush Steppe,n/a,Ecosystem of concern,Regap ecosys 2001/WA Nat. Heritage March2015,raster,3/12/2015 0:00,-1,n/a,S2,n/a,n/a,Acres in hex,2.668734
140562,101238,5,6,5,5107,4,6,6,4,3,5,4,3,6,3,3,3,3,1,4,Lynx,n/a,RANGE,Priority Habitats and Species Poly,poly,9/16/1992 0:00,-1,Threatened,Threatened,n/a,RNG,Acres in hex,112.8937976
140565,101238,5,6,5,5107,4,6,6,4,3,5,4,3,6,3,3,3,3,1,4,Freshwater Emergent Wetland,n/a,PEMC,USFWS National Wetlands Inventory,poly,1/10/2014 0:00,-1,n/a,n/a,n/a,n/a,Acres in hex,0.711681529
140572,101239,5,6,5,4409,4,6,6,4,3,5,4,3,4,3,3,3,3,1,6,Freshwater Forested/Shrub Wetland,n/a,PSSC,USFWS National Wetlands Inventory,poly,1/10/2014 0:00,-1,n/a,n/a,n/a,n/a,Acres in hex,1.194930328
