OBJECTID,Hex_ID,Ter_SOC,Aq_SOC,SOC_all,LS_Cond,Intact_LS,Nat_Veg,LS_Corr,LS_merge,fH20_Int,Wet_Rip,Spp_Corr,Ter_SERI,Aq_SERI,all_SERI,CH_Rank,Ter_Rank,Aq_Rank,blk_hex,Tier2,OccurrenceName,TaxonomicClass,OccurTypeCrit,SourceDataset,SourceGeometry,LastSourceDate,LastSourceID,FederalListingStatus,StateListingStatus,SGCNIndicator,Supplemental,AbundanceType,Abundance
222123,137342,6,6,6,1906,3,3,6,3,3,6,4,3,6,3,2,2,3,1,6,Mountain Goat,n/a,REGULAR CONCENTRATION,Priority Habitats and Species Poly,poly,9/24/1992 0:00,-1,n/a,n/a,n/a,RC,Acres in hex,385.5516703
222121,137342,6,6,6,1906,3,3,6,3,3,6,4,3,6,3,2,2,3,1,6,Cliffs/bluffs,n/a,n/a,Priority Habitats and Species Poly,poly,9/24/1992 0:00,-1,n/a,n/a,n/a,Habitat,Acres in hex,39.46910963
222124,137342,6,6,6,1906,3,3,6,3,3,6,4,3,6,3,2,2,3,1,6,Freshwater Pond,n/a,PUBH,USFWS National Wetlands Inventory,poly,1/10/2014 0:00,-1,n/a,n/a,n/a,n/a,Acres in hex,11.50317317
222122,137342,6,6,6,1906,3,3,6,3,3,6,4,3,6,3,2,2,3,1,6,Lynx,n/a,RANGE,Priority Habitats and Species Poly,poly,9/16/1992 0:00,-1,Threatened,Threatened,n/a,RNG,Acres in hex,640.3407531
222136,137343,6,1,1,1985,3,6,6,3,3,6,4,6,3,3,1,3,1,1,3,Steelhead,Oncorhynchus,STSU,Salmonid Stock Inventory ,line,11/14/2006 0:00,-1,Threatened,n/a,n/a,Run time:Summer  Status:Depressed,Stream miles in hex,1.609732027
222131,137343,6,1,1,1985,3,6,6,3,3,6,4,6,3,3,1,3,1,1,3,Rainbow Trout,n/a,Presumed: Presence,WA Integrated Fish Distribution,line,1/1/9999 0:00,-1,n/a,n/a,n/a,Run time: Unknown or Not Applicable,Stream miles in hex,0.649289306
222126,137343,6,1,1,1985,3,6,6,3,3,6,4,6,3,3,1,3,1,1,3,Bull Trout,n/a,Documented: Spawning,WA Integrated Fish Distribution,line,1/1/9999 0:00,-1,n/a,n/a,n/a,Run time: Unknown or Not Applicable,Stream miles in hex,1.052192208
222134,137343,6,1,1,1985,3,6,6,3,3,6,4,6,3,3,1,3,1,1,3,Chinook,Oncorhynchus,CHSP,Salmonid Stock Inventory ,line,7/20/2006 0:00,-1,Endangered,n/a,n/a,Run time:Spring  Status:Depressed,Stream miles in hex,0.827556264
222129,137343,6,1,1,1985,3,6,6,3,3,6,4,6,3,3,1,3,1,1,3,Mountain Whitefish,n/a,Documented: Presence,WA Integrated Fish Distribution,line,1/1/9999 0:00,-1,n/a,n/a,n/a,Run time: Unknown or Not Applicable,Stream miles in hex,1.3438959
222127,137343,6,1,1,1985,3,6,6,3,3,6,4,6,3,3,1,3,1,1,3,Chinook Salmon,n/a,Documented: Spawning,WA Integrated Fish Distribution,line,1/1/9999 0:00,-1,n/a,n/a,n/a,Run time: Spring,Stream miles in hex,0.820389305
