EncounterCode,RecoverDate,RecoverYear,RecoverMonth,RecoverSeason,RecoverVessel,RecoverProjectName,RecoverMethod,SpeciesCode,CommonName,TagCode,RecoverLength,SexDescription,RecoverTagTypeCode,RecoverMortality,RecoverLatitude,RecoverLongitude,RecoverPunchCardArea,ReleaseDate,ReleaseYear,ReleaseMonth,ReleaseSeason,ReleaseVessel,ReleaseProjectName,ReleaseMethod,ReleaseLengthCM,ReleaseTagTypeCode,ReleaseLatitude,ReleaseLongitude,ReleasePunchCardArea,DaysAtLiberty,GrowthCM,MovementMiles
PUBTAG1389,4/27/1983,1983,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,11327,46,Male,1SPG,Y,47.1,-124.325,PCA 2,7/1/1981,1981,7,Fall,Unknown,,At Sea,46,1SPG,47.2258333,-124.3338333,PCA 2,665,0,10.52189608
PUBTAG1356,9/20/1982,1982,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,11330,,Unable to determine,1SPG,Y,46.3166666,-124.1583333,PCA 1,7/1/1981,1981,7,Fall,Unknown,,At Sea,47,1SPG,47.2258333,-124.3338333,PCA 2,446,,76.19492733
PUBTAG1303,8/29/1981,1981,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,11344,40,Male,1SPG,Y,47.25,-124.2833333,PCA 2,7/1/1981,1981,7,Fall,Unknown,,At Sea,40,1SPG,47.2258333,-124.3338333,PCA 2,59,0,2.019880602
PUBTAG1319,6/6/1982,1982,6,Spring,,,Public Return,BLCK,BLACK ROCKFISH,11474,46,Female,1SPG,Y,47.1416666,-124.2666666,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,45,1SPGOTC,47.1415,-124.4265,PCA 2,297,1,0.013932455
PUBTAG1520,8/7/1984,1984,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,1148,,Unable to determine,1SPG,Y,47.1166666,-124.4,PCA 2,5/7/1982,1982,5,Spring,Three Duces,,At Sea,8,1SPG,47.1843333,-124.2773333,PCA 2,823,,5.658547909
PUBTAG1355,9/20/1982,1982,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,11489,,Unable to determine,1SPG,Y,46.3166666,-124.1583333,PCA 1,8/13/1981,1981,8,Fall,Corliss,,At Sea,48,1SPG,47.1415,-124.4265,PCA 2,403,,69.14432632
PUBTAG1383,4/20/1983,1983,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,11494,48,Female,1SPG,Y,47.0343333,-124.2583333,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,48,1SPG,47.1415,-124.4265,PCA 2,615,0,8.964960989
PUBTAG1513,7/13/1984,1984,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,11508,47,Unable to determine,1SPG,Y,47.3,-124.3,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,50,1SPG,47.1415,-124.4265,PCA 2,1065,-3,13.24893405
PUBTAG1373,4/10/1983,1983,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,11606,44,Male,1SPG,Y,46.35,-124.175,PCA 1,8/13/1981,1981,8,Fall,Corliss,,At Sea,42,1SPG,47.1415,-124.4265,PCA 2,605,2,66.34368828
PUBTAG1338,8/4/1982,1982,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,11624,45,Unable to determine,1SPG,Y,47.4833333,-124.5166666,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,42,1SPG,47.1415,-124.4265,PCA 2,356,3,28.55831614
